coefficient,median_ppl,mean_length_ratio,is_valid
0,4.3203444480896,1.0,True
-35,297.5189514160156,0.13155374612585055,False
-30,296.8837890625,0.17890778583379216,False
-25,277.4295349121094,0.2863019160594317,False
-20,264.1459655761719,0.5343735433018658,False
-15,59.0930290222168,0.9784634019230795,False
-10,18.130521774291992,0.9408444630030849,False
-5,3.824096202850342,1.0816924965803727,True
5,5.336770057678223,0.760906681454727,True
10,176.70806884765625,0.3813590080246048,False
15,1947.321533203125,0.22029307828713424,False
20,2345.853515625,0.3080931707685549,False
25,1754.586181640625,0.2869354825674783,False
30,1670.014404296875,0.27423837230434284,False
35,1935.0264892578125,0.2560200312790358,False
