coefficient,median_ppl,mean_length_ratio,is_valid
0,3.950291156768799,1.0,True
-35,4158.939453125,0.4640130444116203,False
-30,3211.227294921875,0.5899695441865644,False
-25,981.6722412109375,0.8425988519740504,False
-20,209.72007751464844,1.0816428642025635,False
-15,56.81761932373047,1.2778117153656943,False
-10,131.79705810546875,0.6025351991529143,False
-5,7.365797996520996,1.6423463026325829,False
5,4.195528984069824,1.0675450112827145,True
10,147.06446838378906,0.3840986073155381,False
15,1169.2384033203125,0.16153584659624684,False
20,1347.007568359375,0.165272428200581,False
25,498.7934265136719,0.1672015414673006,False
30,234.4596405029297,0.16576444502688192,False
35,307.93359375,0.18033442663631252,False
