coefficient,median_ppl,mean_length_ratio,is_valid
0,4.0314860343933105,1.0,True
-35,8.694363594055176,0.951033573933163,False
-30,73.29076385498047,0.6932813341005273,False
-25,11.056233406066895,0.6454124566263758,False
-20,12.910972595214844,0.9645633607997527,False
-15,5.8649702072143555,1.0816631733902675,True
-10,5.301196575164795,1.0757700686571734,True
-5,4.297515869140625,1.0200872869576267,True
5,4.028286933898926,0.9916127017773638,True
10,4.139744281768799,0.9618852466868268,True
15,3.806018352508545,0.7571667981751571,True
20,3.1975693702697754,0.409377882612122,False
25,24.715612411499023,0.7151588474818185,False
30,903.9095458984375,0.10928757135753477,False
35,1206.83154296875,0.058084989189886374,False
