coefficient,median_ppl,mean_length_ratio,is_valid
0,5.053590297698975,1.0,True
-35,129.23715209960938,0.20354295386150356,False
-30,57.80545425415039,1.9474379744428842,False
-25,78.25800323486328,0.4871321307074999,False
-20,9.280991554260254,1.5681121482794027,False
-15,6.5371294021606445,1.407495294170785,True
-10,5.536579132080078,1.4448977642705125,True
-5,4.8924150466918945,1.584922374781993,False
5,4.824985027313232,1.3869276907483215,True
10,10.809869766235352,1.0249468098508725,False
15,4.308133602142334,1.415248508794557,True
20,3.644266128540039,1.9017079826828591,False
25,4.774713516235352,1.2838152753094376,True
30,6.557967662811279,1.8717001504651745,False
35,1745.193115234375,0.22345014314673928,False
