coefficient,median_ppl,mean_length_ratio,is_valid
0,4.333125114440918,1.0,True
-35,5.4175214767456055,1.0685852894235484,True
-30,4.908811569213867,1.0169433313245984,True
-25,4.306381702423096,1.0354593388923496,True
-20,4.376681804656982,1.0317171713356148,True
-15,4.045950412750244,0.9912054150005956,True
-10,4.352358341217041,0.9823088720895532,True
-5,3.882025957107544,1.0026782639220273,True
5,3.9773921966552734,0.9949641571052118,True
10,4.007534027099609,1.000747719133023,True
15,4.198081016540527,0.9367976203215537,True
20,4.4658074378967285,0.9812092768786874,True
25,4.348349571228027,0.9801753922226717,True
30,4.222978115081787,0.9609738257604551,True
35,4.543473720550537,0.9572400096632492,True
