Method,Baseline_Win_Raw,Baseline_STD,Steered_Raw_Win_Rate,Delta,P_Value,T_Stat,Cohens_D,Significance
NEGATIVE,0.48400000000000004,0.235917661181063,0.988,0.504,2.8458943675792525e-20,14.962052719554688,2.992410543910938,***
POSITIVE,0.48400000000000004,0.235917661181063,0.96,0.4759999999999999,9.78731264080729e-20,13.67781057121747,2.7355621142434936,***
