coefficient,median_ppl,mean_length_ratio,is_valid
-35,50.88935852050781,0.9629126154296744,False
-30,112.99322509765625,0.5283941665160565,False
-25,7.935451984405518,1.0291571862445748,False
-20,6.147197723388672,0.9573413260995673,True
-15,3.648305892944336,1.1008578692439843,True
-10,3.748497486114502,1.057910862862036,True
-5,4.53904914855957,1.0342293097018789,True
0,4.409234523773193,1,True
5,4.173871994018555,0.9823028802797441,True
10,4.771146774291992,0.9579996538914419,True
15,5.9053754806518555,0.8381623484815224,True
20,11.478440284729004,0.48090304284871954,False
25,20.585233688354492,0.3975694322601618,False
30,44.3688850402832,0.6476214497486029,False
35,118.5368881225586,0.13200021224111613,False
