coefficient,median_ppl,mean_length_ratio,is_valid
0,4.120717525482178,1.0,True
-35,883.1043701171875,0.044232137506450844,False
-30,24.51247215270996,0.024176212087384533,False
-25,3.2834837436676025,0.3495245624035552,False
-20,4.549532413482666,0.769971595570971,True
-15,4.534755706787109,1.046923569305961,True
-10,3.8637609481811523,1.0359015392674416,True
-5,4.150859355926514,1.0070149188159103,True
5,4.5275468826293945,1.0256206841230924,True
10,4.805967330932617,1.0306242027663195,True
15,4.147997856140137,1.0040854326872881,True
20,12.109732627868652,0.8103581444213629,False
25,26.861377716064453,0.6315931222385635,False
30,67.81905364990234,0.21970020595235729,False
35,114.62084197998047,0.1526241613270546,False
